Data,Nome,WeekDay
11/15/2035,PROC.DA REPUBLICA,quinta-feira
12/25/2035,NATAL,terça-feira
1/1/2036,CONFRATERNIZACAO,terça-feira
2/25/2036,SEGUNDA-FEIRA CARNAV,segunda-feira
2/26/2036,TERCA-FEIRA CARNAVAL,terça-feira
4/11/2036,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2036,TIRADENTES,segunda-feira
5/1/2036,DIA DO TRABALHO,quinta-feira
6/12/2036,CORPUS CHRISTI,quinta-feira
9/7/2036,INDEPENDENCIA,domingo
10/12/2036,N.S.APARECIDA,domingo
11/2/2036,FINADOS,domingo
11/15/2036,PROC.DA REPUBLICA,sábado
12/25/2036,NATAL,quinta-feira
1/1/2037,CONFRATERNIZACAO,quinta-feira
2/16/2037,SEGUNDA-FEIRA CARNAV,segunda-feira
2/17/2037,TERCA-FEIRA CARNAVAL,terça-feira
4/3/2037,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2037,TIRADENTES,terça-feira
5/1/2037,DIA DO TRABALHO,sexta-feira
6/4/2037,CORPUS CHRISTI,quinta-feira
9/7/2037,INDEPENDENCIA,segunda-feira
10/12/2037,N.S.APARECIDA,segunda-feira
11/2/2037,FINADOS,segunda-feira
11/15/2037,PROC.DA REPUBLICA,domingo
12/25/2037,NATAL,sexta-feira
1/1/2038,CONFRATERNIZACAO,sexta-feira
3/8/2038,SEGUNDA-FEIRA CARNAV,segunda-feira
3/9/2038,TERCA-FEIRA CARNAVAL,terça-feira
4/21/2038,TIRADENTES,quarta-feira
4/23/2038,SEXTA-FEIRA PAIXAO,sexta-feira
5/1/2038,DIA DO TRABALHO,sábado
6/24/2038,CORPUS CHRISTI,quinta-feira
9/7/2038,INDEPENDENCIA,terça-feira
10/12/2038,N.S.APARECIDA,terça-feira
11/2/2038,FINADOS,terça-feira
11/15/2038,PROC.DA REPUBLICA,segunda-feira
12/25/2038,NATAL,sábado
1/1/2039,CONFRATERNIZACAO,sábado
2/21/2039,SEGUNDA-FEIRA CARNAV,segunda-feira
2/22/2039,TERCA-FEIRA CARNAVAL,terça-feira
4/8/2039,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2039,TIRADENTES,quinta-feira
5/1/2039,DIA DO TRABALHO,domingo
6/9/2039,CORPUS CHRISTI,quinta-feira
9/7/2039,INDEPENDENCIA,quarta-feira
10/12/2039,N.S.APARECIDA,quarta-feira
11/2/2039,FINADOS,quarta-feira
11/15/2039,PROC.DA REPUBLICA,terça-feira
12/25/2039,NATAL,domingo
1/1/2040,CONFRATERNIZACAO,domingo
2/13/2040,SEGUNDA-FEIRA CARNAV,segunda-feira
2/14/2040,TERCA-FEIRA CARNAVAL,terça-feira
3/30/2040,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2040,TIRADENTES,sábado
5/1/2040,DIA DO TRABALHO,terça-feira
5/31/2040,CORPUS CHRISTI,quinta-feira
9/7/2040,INDEPENDENCIA,sexta-feira
10/12/2040,N.S.APARECIDA,sexta-feira
11/2/2040,FINADOS,sexta-feira
11/15/2040,PROC.DA REPUBLICA,quinta-feira
12/25/2040,NATAL,terça-feira
1/1/2041,CONFRATERNIZACAO,terça-feira
3/4/2041,SEGUNDA-FEIRA CARNAV,segunda-feira
3/5/2041,TERCA-FEIRA CARNAVAL,terça-feira
4/19/2041,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2041,TIRADENTES,domingo
5/1/2041,DIA DO TRABALHO,quarta-feira
6/20/2041,CORPUS CHRISTI,quinta-feira
9/7/2041,INDEPENDENCIA,sábado
10/12/2041,N.S.APARECIDA,sábado
11/2/2041,FINADOS,sábado
11/15/2041,PROC.DA REPUBLICA,sexta-feira
12/25/2041,NATAL,quarta-feira
1/1/2042,CONFRATERNIZACAO,quarta-feira
2/17/2042,SEGUNDA-FEIRA CARNAV,segunda-feira
2/18/2042,TERCA-FEIRA CARNAVAL,terça-feira
4/4/2042,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2042,TIRADENTES,segunda-feira
5/1/2042,DIA DO TRABALHO,quinta-feira
6/5/2042,CORPUS CHRISTI,quinta-feira
9/7/2042,INDEPENDENCIA,domingo
10/12/2042,N.S.APARECIDA,domingo
11/2/2042,FINADOS,domingo
11/15/2042,PROC.DA REPUBLICA,sábado
12/25/2042,NATAL,quinta-feira
1/1/2043,CONFRATERNIZACAO,quinta-feira
2/9/2043,SEGUNDA-FEIRA CARNAV,segunda-feira
2/10/2043,TERCA-FEIRA CARNAVAL,terça-feira
3/27/2043,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2043,TIRADENTES,terça-feira
5/1/2043,DIA DO TRABALHO,sexta-feira
5/28/2043,CORPUS CHRISTI,quinta-feira
9/7/2043,INDEPENDENCIA,segunda-feira
10/12/2043,N.S.APARECIDA,segunda-feira
11/2/2043,FINADOS,segunda-feira
11/15/2043,PROC.DA REPUBLICA,domingo
12/25/2043,NATAL,sexta-feira
1/1/2044,CONFRATERNIZACAO,sexta-feira
2/29/2044,SEGUNDA-FEIRA CARNAV,segunda-feira
3/1/2044,TERCA-FEIRA CARNAVAL,terça-feira
4/15/2044,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2044,TIRADENTES,quinta-feira
5/1/2044,DIA DO TRABALHO,domingo
6/16/2044,CORPUS CHRISTI,quinta-feira
9/7/2044,INDEPENDENCIA,quarta-feira
10/12/2044,N.S.APARECIDA,quarta-feira
11/2/2044,FINADOS,quarta-feira
11/15/2044,PROC.DA REPUBLICA,terça-feira
12/25/2044,NATAL,domingo
1/1/2045,CONFRATERNIZACAO,domingo
2/20/2045,SEGUNDA-FEIRA CARNAV,segunda-feira
2/21/2045,TERCA-FEIRA CARNAVAL,terça-feira
4/7/2045,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2045,TIRADENTES,sexta-feira
5/1/2045,DIA DO TRABALHO,segunda-feira
6/8/2045,CORPUS CHRISTI,quinta-feira
9/7/2045,INDEPENDENCIA,quinta-feira
10/12/2045,N.S.APARECIDA,quinta-feira
11/2/2045,FINADOS,quinta-feira
11/15/2045,PROC.DA REPUBLICA,quarta-feira
12/25/2045,NATAL,segunda-feira
1/1/2046,CONFRATERNIZACAO,segunda-feira
2/5/2046,SEGUNDA-FEIRA CARNAV,segunda-feira
2/6/2046,TERCA-FEIRA CARNAVAL,terça-feira
3/23/2046,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2046,TIRADENTES,sábado
5/1/2046,DIA DO TRABALHO,terça-feira
5/24/2046,CORPUS CHRISTI,quinta-feira
9/7/2046,INDEPENDENCIA,sexta-feira
10/12/2046,N.S.APARECIDA,sexta-feira
11/2/2046,FINADOS,sexta-feira
11/15/2046,PROC.DA REPUBLICA,quinta-feira
12/25/2046,NATAL,terça-feira
1/1/2047,CONFRATERNIZACAO,terça-feira
2/25/2047,SEGUNDA-FEIRA CARNAV,segunda-feira
2/26/2047,TERCA-FEIRA CARNAVAL,terça-feira
4/12/2047,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2047,TIRADENTES,domingo
5/1/2047,DIA DO TRABALHO,quarta-feira
6/13/2047,CORPUS CHRISTI,quinta-feira
9/7/2047,INDEPENDENCIA,sábado
10/12/2047,N.S.APARECIDA,sábado
11/2/2047,FINADOS,sábado
11/15/2047,PROC.DA REPUBLICA,sexta-feira
12/25/2047,NATAL,quarta-feira
1/1/2048,CONFRATERNIZACAO,quarta-feira
2/17/2048,SEGUNDA-FEIRA CARNAV,segunda-feira
2/18/2048,TERCA-FEIRA CARNAVAL,terça-feira
4/3/2048,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2048,TIRADENTES,terça-feira
5/1/2048,DIA DO TRABALHO,sexta-feira
6/4/2048,CORPUS CHRISTI,quinta-feira
9/7/2048,INDEPENDENCIA,segunda-feira
10/12/2048,N.S.APARECIDA,segunda-feira
11/2/2048,FINADOS,segunda-feira
11/15/2048,PROC.DA REPUBLICA,domingo
12/25/2048,NATAL,sexta-feira
1/1/2049,CONFRATERNIZACAO,sexta-feira
3/1/2049,SEGUNDA-FEIRA CARNAV,segunda-feira
3/2/2049,TERCA-FEIRA CARNAVAL,terça-feira
4/16/2049,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2049,TIRADENTES,quarta-feira
5/1/2049,DIA DO TRABALHO,sábado
6/17/2049,CORPUS CHRISTI,quinta-feira
9/7/2049,INDEPENDENCIA,terça-feira
10/12/2049,N.S.APARECIDA,terça-feira
11/2/2049,FINADOS,terça-feira
11/15/2049,PROC.DA REPUBLICA,segunda-feira
12/25/2049,NATAL,sábado
1/1/2050,CONFRATERNIZACAO,sábado
2/21/2050,SEGUNDA-FEIRA CARNAV,segunda-feira
2/22/2050,TERCA-FEIRA CARNAVAL,terça-feira
4/8/2050,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2050,TIRADENTES,quinta-feira
5/1/2050,DIA DO TRABALHO,domingo
6/9/2050,CORPUS CHRISTI,quinta-feira
9/7/2050,INDEPENDENCIA,quarta-feira
10/12/2050,N.S.APARECIDA,quarta-feira
11/2/2050,FINADOS,quarta-feira
11/15/2050,PROC.DA REPUBLICA,terça-feira
12/25/2050,NATAL,domingo
1/1/2051,CONFRATERNIZACAO,domingo
2/13/2051,SEGUNDA-FEIRA CARNAV,segunda-feira
2/14/2051,TERCA-FEIRA CARNAVAL,terça-feira
3/31/2051,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2051,TIRADENTES,sexta-feira
5/1/2051,DIA DO TRABALHO,segunda-feira
6/1/2051,CORPUS CHRISTI,quinta-feira
9/7/2051,INDEPENDENCIA,quinta-feira
10/12/2051,N.S.APARECIDA,quinta-feira
11/2/2051,FINADOS,quinta-feira
11/15/2051,PROC.DA REPUBLICA,quarta-feira
12/25/2051,NATAL,segunda-feira
1/1/2052,CONFRATERNIZACAO,segunda-feira
3/4/2052,SEGUNDA-FEIRA CARNAV,segunda-feira
3/5/2052,TERCA-FEIRA CARNAVAL,terça-feira
4/19/2052,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2052,TIRADENTES,domingo
5/1/2052,DIA DO TRABALHO,quarta-feira
6/20/2052,CORPUS CHRISTI,quinta-feira
9/7/2052,INDEPENDENCIA,sábado
10/12/2052,N.S.APARECIDA,sábado
11/2/2052,FINADOS,sábado
11/15/2052,PROC.DA REPUBLICA,sexta-feira
12/25/2052,NATAL,quarta-feira
1/1/2053,CONFRATERNIZACAO,quarta-feira
2/17/2053,SEGUNDA-FEIRA CARNAV,segunda-feira
2/18/2053,TERCA-FEIRA CARNAVAL,terça-feira
4/4/2053,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2053,TIRADENTES,segunda-feira
5/1/2053,DIA DO TRABALHO,quinta-feira
6/5/2053,CORPUS CHRISTI,quinta-feira
9/7/2053,INDEPENDENCIA,domingo
10/12/2053,N.S.APARECIDA,domingo
11/2/2053,FINADOS,domingo
11/15/2053,PROC.DA REPUBLICA,sábado
12/25/2053,NATAL,quinta-feira
1/1/2054,CONFRATERNIZACAO,quinta-feira
2/9/2054,SEGUNDA-FEIRA CARNAV,segunda-feira
2/10/2054,TERCA-FEIRA CARNAVAL,terça-feira
3/27/2054,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2054,TIRADENTES,terça-feira
5/1/2054,DIA DO TRABALHO,sexta-feira
5/28/2054,CORPUS CHRISTI,quinta-feira
9/7/2054,INDEPENDENCIA,segunda-feira
10/12/2054,N.S.APARECIDA,segunda-feira
11/2/2054,FINADOS,segunda-feira
11/15/2054,PROC.DA REPUBLICA,domingo
12/25/2054,NATAL,sexta-feira
1/1/2055,CONFRATERNIZACAO,sexta-feira
3/1/2055,SEGUNDA-FEIRA CARNAV,segunda-feira
3/2/2055,TERCA-FEIRA CARNAVAL,terça-feira
4/16/2055,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2055,TIRADENTES,quarta-feira
5/1/2055,DIA DO TRABALHO,sábado
6/17/2055,CORPUS CHRISTI,quinta-feira
9/7/2055,INDEPENDENCIA,terça-feira
10/12/2055,N.S.APARECIDA,terça-feira
11/2/2055,FINADOS,terça-feira
11/15/2055,PROC.DA REPUBLICA,segunda-feira
12/25/2055,NATAL,sábado
1/1/2056,CONFRATERNIZACAO,sábado
2/14/2056,SEGUNDA-FEIRA CARNAV,segunda-feira
2/15/2056,TERCA-FEIRA CARNAVAL,terça-feira
3/31/2056,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2056,TIRADENTES,sexta-feira
5/1/2056,DIA DO TRABALHO,segunda-feira
6/1/2056,CORPUS CHRISTI,quinta-feira
9/7/2056,INDEPENDENCIA,quinta-feira
10/12/2056,N.S.APARECIDA,quinta-feira
11/2/2056,FINADOS,quinta-feira
11/15/2056,PROC.DA REPUBLICA,quarta-feira
12/25/2056,NATAL,segunda-feira
1/1/2057,CONFRATERNIZACAO,segunda-feira
3/5/2057,SEGUNDA-FEIRA CARNAV,segunda-feira
3/6/2057,TERCA-FEIRA CARNAVAL,terça-feira
4/20/2057,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2057,TIRADENTES,sábado
5/1/2057,DIA DO TRABALHO,terça-feira
6/21/2057,CORPUS CHRISTI,quinta-feira
9/7/2057,INDEPENDENCIA,sexta-feira
10/12/2057,N.S.APARECIDA,sexta-feira
11/2/2057,FINADOS,sexta-feira
11/15/2057,PROC.DA REPUBLICA,quinta-feira
12/25/2057,NATAL,terça-feira
1/1/2058,CONFRATERNIZACAO,terça-feira
2/25/2058,SEGUNDA-FEIRA CARNAV,segunda-feira
2/26/2058,TERCA-FEIRA CARNAVAL,terça-feira
4/12/2058,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2058,TIRADENTES,domingo
5/1/2058,DIA DO TRABALHO,quarta-feira
6/13/2058,CORPUS CHRISTI,quinta-feira
9/7/2058,INDEPENDENCIA,sábado
10/12/2058,N.S.APARECIDA,sábado
11/2/2058,FINADOS,sábado
11/15/2058,PROC.DA REPUBLICA,sexta-feira
12/25/2058,NATAL,quarta-feira
1/1/2059,CONFRATERNIZACAO,quarta-feira
2/10/2059,SEGUNDA-FEIRA CARNAV,segunda-feira
2/11/2059,TERCA-FEIRA CARNAVAL,terça-feira
3/28/2059,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2059,TIRADENTES,segunda-feira
5/1/2059,DIA DO TRABALHO,quinta-feira
5/29/2059,CORPUS CHRISTI,quinta-feira
9/7/2059,INDEPENDENCIA,domingo
10/12/2059,N.S.APARECIDA,domingo
11/2/2059,FINADOS,domingo
11/15/2059,PROC.DA REPUBLICA,sábado
12/25/2059,NATAL,quinta-feira
1/1/2060,CONFRATERNIZACAO,quinta-feira
3/1/2060,SEGUNDA-FEIRA CARNAV,segunda-feira
3/2/2060,TERCA-FEIRA CARNAVAL,terça-feira
4/16/2060,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2060,TIRADENTES,quarta-feira
5/1/2060,DIA DO TRABALHO,sábado
6/17/2060,CORPUS CHRISTI,quinta-feira
9/7/2060,INDEPENDENCIA,terça-feira
10/12/2060,N.S.APARECIDA,terça-feira
11/2/2060,FINADOS,terça-feira
11/15/2060,PROC.DA REPUBLICA,segunda-feira
12/25/2060,NATAL,sábado
1/1/2061,CONFRATERNIZACAO,sábado
2/21/2061,SEGUNDA-FEIRA CARNAV,segunda-feira
2/22/2061,TERCA-FEIRA CARNAVAL,terça-feira
4/8/2061,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2061,TIRADENTES,quinta-feira
5/1/2061,DIA DO TRABALHO,domingo
6/9/2061,CORPUS CHRISTI,quinta-feira
9/7/2061,INDEPENDENCIA,quarta-feira
10/12/2061,N.S.APARECIDA,quarta-feira
11/2/2061,FINADOS,quarta-feira
11/15/2061,PROC.DA REPUBLICA,terça-feira
12/25/2061,NATAL,domingo
1/1/2062,CONFRATERNIZACAO,domingo
2/6/2062,SEGUNDA-FEIRA CARNAV,segunda-feira
2/7/2062,TERCA-FEIRA CARNAVAL,terça-feira
3/24/2062,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2062,TIRADENTES,sexta-feira
5/1/2062,DIA DO TRABALHO,segunda-feira
5/25/2062,CORPUS CHRISTI,quinta-feira
9/7/2062,INDEPENDENCIA,quinta-feira
10/12/2062,N.S.APARECIDA,quinta-feira
11/2/2062,FINADOS,quinta-feira
11/15/2062,PROC.DA REPUBLICA,quarta-feira
12/25/2062,NATAL,segunda-feira
1/1/2063,CONFRATERNIZACAO,segunda-feira
2/26/2063,SEGUNDA-FEIRA CARNAV,segunda-feira
2/27/2063,TERCA-FEIRA CARNAVAL,terça-feira
4/13/2063,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2063,TIRADENTES,sábado
5/1/2063,DIA DO TRABALHO,terça-feira
6/14/2063,CORPUS CHRISTI,quinta-feira
9/7/2063,INDEPENDENCIA,sexta-feira
10/12/2063,N.S.APARECIDA,sexta-feira
11/2/2063,FINADOS,sexta-feira
11/15/2063,PROC.DA REPUBLICA,quinta-feira
12/25/2063,NATAL,terça-feira
1/1/2064,CONFRATERNIZACAO,terça-feira
2/18/2064,SEGUNDA-FEIRA CARNAV,segunda-feira
2/19/2064,TERCA-FEIRA CARNAVAL,terça-feira
4/4/2064,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2064,TIRADENTES,segunda-feira
5/1/2064,DIA DO TRABALHO,quinta-feira
6/5/2064,CORPUS CHRISTI,quinta-feira
9/7/2064,INDEPENDENCIA,domingo
10/12/2064,N.S.APARECIDA,domingo
11/2/2064,FINADOS,domingo
11/15/2064,PROC.DA REPUBLICA,sábado
12/25/2064,NATAL,quinta-feira
1/1/2065,CONFRATERNIZACAO,quinta-feira
2/9/2065,SEGUNDA-FEIRA CARNAV,segunda-feira
2/10/2065,TERCA-FEIRA CARNAVAL,terça-feira
3/27/2065,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2065,TIRADENTES,terça-feira
5/1/2065,DIA DO TRABALHO,sexta-feira
5/28/2065,CORPUS CHRISTI,quinta-feira
9/7/2065,INDEPENDENCIA,segunda-feira
10/12/2065,N.S.APARECIDA,segunda-feira
11/2/2065,FINADOS,segunda-feira
11/15/2065,PROC.DA REPUBLICA,domingo
12/25/2065,NATAL,sexta-feira
1/1/2066,CONFRATERNIZACAO,sexta-feira
2/22/2066,SEGUNDA-FEIRA CARNAV,segunda-feira
2/23/2066,TERCA-FEIRA CARNAVAL,terça-feira
4/9/2066,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2066,TIRADENTES,quarta-feira
5/1/2066,DIA DO TRABALHO,sábado
6/10/2066,CORPUS CHRISTI,quinta-feira
9/7/2066,INDEPENDENCIA,terça-feira
10/12/2066,N.S.APARECIDA,terça-feira
11/2/2066,FINADOS,terça-feira
11/15/2066,PROC.DA REPUBLICA,segunda-feira
12/25/2066,NATAL,sábado
1/1/2067,CONFRATERNIZACAO,sábado
2/14/2067,SEGUNDA-FEIRA CARNAV,segunda-feira
2/15/2067,TERCA-FEIRA CARNAVAL,terça-feira
4/1/2067,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2067,TIRADENTES,quinta-feira
5/1/2067,DIA DO TRABALHO,domingo
6/2/2067,CORPUS CHRISTI,quinta-feira
9/7/2067,INDEPENDENCIA,quarta-feira
10/12/2067,N.S.APARECIDA,quarta-feira
11/2/2067,FINADOS,quarta-feira
11/15/2067,PROC.DA REPUBLICA,terça-feira
12/25/2067,NATAL,domingo
1/1/2068,CONFRATERNIZACAO,domingo
3/5/2068,SEGUNDA-FEIRA CARNAV,segunda-feira
3/6/2068,TERCA-FEIRA CARNAVAL,terça-feira
4/20/2068,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2068,TIRADENTES,sábado
5/1/2068,DIA DO TRABALHO,terça-feira
6/21/2068,CORPUS CHRISTI,quinta-feira
9/7/2068,INDEPENDENCIA,sexta-feira
10/12/2068,N.S.APARECIDA,sexta-feira
11/2/2068,FINADOS,sexta-feira
11/15/2068,PROC.DA REPUBLICA,quinta-feira
12/25/2068,NATAL,terça-feira
1/1/2069,CONFRATERNIZACAO,terça-feira
2/25/2069,SEGUNDA-FEIRA CARNAV,segunda-feira
2/26/2069,TERCA-FEIRA CARNAVAL,terça-feira
4/12/2069,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2069,TIRADENTES,domingo
5/1/2069,DIA DO TRABALHO,quarta-feira
6/13/2069,CORPUS CHRISTI,quinta-feira
9/7/2069,INDEPENDENCIA,sábado
10/12/2069,N.S.APARECIDA,sábado
11/2/2069,FINADOS,sábado
11/15/2069,PROC.DA REPUBLICA,sexta-feira
12/25/2069,NATAL,quarta-feira
1/1/2070,CONFRATERNIZACAO,quarta-feira
2/10/2070,SEGUNDA-FEIRA CARNAV,segunda-feira
2/11/2070,TERCA-FEIRA CARNAVAL,terça-feira
3/28/2070,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2070,TIRADENTES,segunda-feira
5/1/2070,DIA DO TRABALHO,quinta-feira
5/29/2070,CORPUS CHRISTI,quinta-feira
9/7/2070,INDEPENDENCIA,domingo
10/12/2070,N.S.APARECIDA,domingo
11/2/2070,FINADOS,domingo
11/15/2070,PROC.DA REPUBLICA,sábado
12/25/2070,NATAL,quinta-feira
1/1/2071,CONFRATERNIZACAO,quinta-feira
3/2/2071,SEGUNDA-FEIRA CARNAV,segunda-feira
3/3/2071,TERCA-FEIRA CARNAVAL,terça-feira
4/17/2071,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2071,TIRADENTES,terça-feira
5/1/2071,DIA DO TRABALHO,sexta-feira
6/18/2071,CORPUS CHRISTI,quinta-feira
9/7/2071,INDEPENDENCIA,segunda-feira
10/12/2071,N.S.APARECIDA,segunda-feira
11/2/2071,FINADOS,segunda-feira
11/15/2071,PROC.DA REPUBLICA,domingo
12/25/2071,NATAL,sexta-feira
1/1/2072,CONFRATERNIZACAO,sexta-feira
2/22/2072,SEGUNDA-FEIRA CARNAV,segunda-feira
2/23/2072,TERCA-FEIRA CARNAVAL,terça-feira
4/8/2072,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2072,TIRADENTES,quinta-feira
5/1/2072,DIA DO TRABALHO,domingo
6/9/2072,CORPUS CHRISTI,quinta-feira
9/7/2072,INDEPENDENCIA,quarta-feira
10/12/2072,N.S.APARECIDA,quarta-feira
11/2/2072,FINADOS,quarta-feira
11/15/2072,PROC.DA REPUBLICA,terça-feira
12/25/2072,NATAL,domingo
1/1/2073,CONFRATERNIZACAO,domingo
2/6/2073,SEGUNDA-FEIRA CARNAV,segunda-feira
2/7/2073,TERCA-FEIRA CARNAVAL,terça-feira
3/24/2073,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2073,TIRADENTES,sexta-feira
5/1/2073,DIA DO TRABALHO,segunda-feira
5/25/2073,CORPUS CHRISTI,quinta-feira
9/7/2073,INDEPENDENCIA,quinta-feira
10/12/2073,N.S.APARECIDA,quinta-feira
11/2/2073,FINADOS,quinta-feira
11/15/2073,PROC.DA REPUBLICA,quarta-feira
12/25/2073,NATAL,segunda-feira
1/1/2074,CONFRATERNIZACAO,segunda-feira
2/26/2074,SEGUNDA-FEIRA CARNAV,segunda-feira
2/27/2074,TERCA-FEIRA CARNAVAL,terça-feira
4/13/2074,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2074,TIRADENTES,sábado
5/1/2074,DIA DO TRABALHO,terça-feira
6/14/2074,CORPUS CHRISTI,quinta-feira
9/7/2074,INDEPENDENCIA,sexta-feira
10/12/2074,N.S.APARECIDA,sexta-feira
11/2/2074,FINADOS,sexta-feira
11/15/2074,PROC.DA REPUBLICA,quinta-feira
12/25/2074,NATAL,terça-feira
1/1/2075,CONFRATERNIZACAO,terça-feira
2/18/2075,SEGUNDA-FEIRA CARNAV,segunda-feira
2/19/2075,TERCA-FEIRA CARNAVAL,terça-feira
4/5/2075,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2075,TIRADENTES,domingo
5/1/2075,DIA DO TRABALHO,quarta-feira
6/6/2075,CORPUS CHRISTI,quinta-feira
9/7/2075,INDEPENDENCIA,sábado
10/12/2075,N.S.APARECIDA,sábado
11/2/2075,FINADOS,sábado
11/15/2075,PROC.DA REPUBLICA,sexta-feira
12/25/2075,NATAL,quarta-feira
1/1/2076,CONFRATERNIZACAO,quarta-feira
3/2/2076,SEGUNDA-FEIRA CARNAV,segunda-feira
3/3/2076,TERCA-FEIRA CARNAVAL,terça-feira
4/17/2076,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2076,TIRADENTES,terça-feira
5/1/2076,DIA DO TRABALHO,sexta-feira
6/18/2076,CORPUS CHRISTI,quinta-feira
9/7/2076,INDEPENDENCIA,segunda-feira
10/12/2076,N.S.APARECIDA,segunda-feira
11/2/2076,FINADOS,segunda-feira
11/15/2076,PROC.DA REPUBLICA,domingo
12/25/2076,NATAL,sexta-feira
1/1/2077,CONFRATERNIZACAO,sexta-feira
2/22/2077,SEGUNDA-FEIRA CARNAV,segunda-feira
2/23/2077,TERCA-FEIRA CARNAVAL,terça-feira
4/9/2077,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2077,TIRADENTES,quarta-feira
5/1/2077,DIA DO TRABALHO,sábado
6/10/2077,CORPUS CHRISTI,quinta-feira
9/7/2077,INDEPENDENCIA,terça-feira
10/12/2077,N.S.APARECIDA,terça-feira
11/2/2077,FINADOS,terça-feira
11/15/2077,PROC.DA REPUBLICA,segunda-feira
12/25/2077,NATAL,sábado
1/1/2078,CONFRATERNIZACAO,sábado
2/14/2078,SEGUNDA-FEIRA CARNAV,segunda-feira
2/15/2078,TERCA-FEIRA CARNAVAL,terça-feira
4/1/2078,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2078,TIRADENTES,quinta-feira
5/1/2078,DIA DO TRABALHO,domingo
6/2/2078,CORPUS CHRISTI,quinta-feira
9/7/2078,INDEPENDENCIA,quarta-feira
10/12/2078,N.S.APARECIDA,quarta-feira
11/2/2078,FINADOS,quarta-feira
11/15/2078,PROC.DA REPUBLICA,terça-feira
12/25/2078,NATAL,domingo
